x[km] y[km] z[km] vx[km] vy[km] vz[km]
108227398.319 -2297332.255  0.000  0.751 35.014  0.000 
108250027.810 728774.795  0.000 -0.228 35.021  0.000 
108188052.551 3754319.325  0.000 -1.207 35.001  0.000 
108041521.554 6776935.717  0.000 -2.185 34.953  0.000 
107810549.989 9794260.660  0.000 -3.161 34.878  0.000 
107495319.092 12803935.000  0.000 -4.135 34.776  0.000 
107096076.026 15803605.589  0.000 -5.105 34.647  0.000 
106613133.678 18790927.130  0.000 -6.072 34.491  0.000 
106046870.422 21763564.011  0.000 -7.034 34.307  0.000 
105397729.815 24719192.135  0.000 -7.990 34.097  0.000 
104666220.249 27655500.746  0.000 -8.940 33.860  0.000 
103852914.554 30570194.228  0.000 -9.883 33.597  0.000 
102958449.544 33460993.914  0.000 -10.818 33.307  0.000 
101983525.516 36325639.864  0.000 -11.745 32.991  0.000 
100928905.706 39161892.634  0.000 -12.663 32.650  0.000 
99795415.679 41967535.033  0.000 -13.570 32.283  0.000 
98583942.689 44740373.857  0.000 -14.467 31.891  0.000 
97295434.976 47478241.607  0.000 -15.353 31.474  0.000 
95930901.024 50178998.182  0.000 -16.227 31.032  0.000 
94491408.768 52840532.558  0.000 -17.088 30.566  0.000 
92978084.754 55460764.438  0.000 -17.936 30.076  0.000 
91392113.258 58037645.879  0.000 -18.769 29.562  0.000 
89734735.350 60569162.895  0.000 -19.588 29.026  0.000 
88007247.925 63053337.035  0.000 -20.392 28.467  0.000 
86211002.681 65488226.922  0.000 -21.180 27.885  0.000 
84347405.060 67871929.782  0.000 -21.951 27.282  0.000 
82417913.145 70202582.922  0.000 -22.705 26.658  0.000 
80424036.515 72478365.193  0.000 -23.441 26.012  0.000 
78367335.060 74697498.407  0.000 -24.159 25.347  0.000 
76249417.757 76858248.733  0.000 -24.858 24.661  0.000 
74071941.410 78958928.044  0.000 -25.537 23.956  0.000 
71836609.348 80997895.244  0.000 -26.197 23.233  0.000 
69545170.092 82973557.540  0.000 -26.836 22.491  0.000 
67199415.978 84884371.693  0.000 -27.454 21.732  0.000 
64801181.759 86728845.219  0.000 -28.050 20.956  0.000 
62352343.164 88505537.553  0.000 -28.625 20.163  0.000 
59854815.424 90213061.175  0.000 -29.177 19.355  0.000 
57310551.777 91850082.689  0.000 -29.706 18.532  0.000 
54721541.934 93415323.865  0.000 -30.213 17.694  0.000 
52089810.521 94907562.631  0.000 -30.695 16.842  0.000 
49417415.492 96325634.031  0.000 -31.154 15.977  0.000 
46706446.521 97668431.126  0.000 -31.588 15.100  0.000 
43959023.360 98934905.862  0.000 -31.997 14.211  0.000 
41177294.183 100124069.876  0.000 -32.382 13.311  0.000 
38363433.903 101234995.275  0.000 -32.741 12.400  0.000 
35519642.470 102266815.349  0.000 -33.075 11.480  0.000 
32648143.150 103218725.249  0.000 -33.382 10.551  0.000 
29751180.784 104089982.607  0.000 -33.664  9.613  0.000 
26831020.032 104879908.118  0.000 -33.919  8.668  0.000 
23889943.602 105587886.059  0.000 -34.148  7.717  0.000 
20930250.465 106213364.772  0.000 -34.350  6.759  0.000 
17954254.055 106755857.086  0.000 -34.525  5.796  0.000 
14964280.464 107214940.694  0.000 -34.674  4.829  0.000 
11962666.620 107590258.478  0.000 -34.795  3.858  0.000 
8951758.460 107881518.785  0.000 -34.889  2.883  0.000 
5933909.100 108088495.647  0.000 -34.955  1.907  0.000 
2911476.996 108211028.956  0.000 -34.995  0.929  0.000 
-113175.903 108249024.580  0.000 -35.007 -0.050  0.000 
-3137685.997 108202454.436  0.000 -34.991 -1.028  0.000 
-6159689.880 108071356.504  0.000 -34.949 -2.006  0.000 
-9176826.188 107855834.795  0.000 -34.879 -2.982  0.000 
-12186737.443 107556059.262  0.000 -34.782 -3.956  0.000 
-15187071.890 107172265.666  0.000 -34.657 -4.927  0.000 
-18175485.338 106704755.386  0.000 -34.506 -5.893  0.000 
-21149642.987 106153895.178  0.000 -34.327 -6.856  0.000 
-24107221.247 105520116.887  0.000 -34.122 -7.812  0.000 
-27045909.557 104803917.101  0.000 -33.890 -8.763  0.000 
-29963412.185 104005856.766  0.000 -33.632 -9.707  0.000 
-32857450.016 103126560.736  0.000 -33.347 -10.643  0.000 
-35725762.333 102166717.289  0.000 -33.036 -11.571  0.000 
-38566108.580 101127077.578  0.000 -32.700 -12.490  0.000 
-41376270.107 100008455.048  0.000 -32.338 -13.399  0.000 
-44154051.901 98811724.790  0.000 -31.950 -14.298  0.000 
-46897284.297 97537822.862  0.000 -31.538 -15.185  0.000 
