x[km] y[km] z[km] vx[km] vy[km] vz[km]
1229.586 2711.691  0.000 -0.000  0.000  0.000 
1224.848 2735.164  0.000 -0.000  0.000  0.000 
1219.977 2758.470  0.000 -0.000  0.000  0.000 
1214.980 2781.606  0.000 -0.000  0.000  0.000 
1209.862 2804.570  0.000 -0.000  0.000  0.000 
1204.627 2827.360  0.000 -0.000  0.000  0.000 
1199.282 2849.974  0.000 -0.000  0.000  0.000 
1193.830 2872.411  0.000 -0.000  0.000  0.000 
1188.279 2894.669  0.000 -0.000  0.000  0.000 
1182.632 2916.747  0.000 -0.000  0.000  0.000 
1176.896 2938.644  0.000 -0.000  0.000  0.000 
1171.075 2960.358  0.000 -0.000  0.000  0.000 
1165.175 2981.889  0.000 -0.000  0.000  0.000 
1159.202 3003.237  0.000 -0.000  0.000  0.000 
1153.160 3024.400  0.000 -0.000  0.000  0.000 
1147.056 3045.378  0.000 -0.000  0.000  0.000 
1140.894 3066.171  0.000 -0.000  0.000  0.000 
1134.679 3086.779  0.000 -0.000  0.000  0.000 
1128.418 3107.202  0.000 -0.000  0.000  0.000 
1122.114 3127.440  0.000 -0.000  0.000  0.000 
1115.774 3147.493  0.000 -0.000  0.000  0.000 
1109.403 3167.363  0.000 -0.000  0.000  0.000 
1103.005 3187.049  0.000 -0.000  0.000  0.000 
1096.586 3206.552  0.000 -0.000  0.000  0.000 
1090.151 3225.874  0.000 -0.000  0.000  0.000 
1083.705 3245.015  0.000 -0.000  0.000  0.000 
1077.252 3263.976  0.000 -0.000  0.000  0.000 
1070.798 3282.759  0.000 -0.000  0.000  0.000 
1064.348 3301.366  0.000 -0.000  0.000  0.000 
1057.906 3319.798  0.000 -0.000  0.000  0.000 
1051.476 3338.056  0.000 -0.000  0.000  0.000 
1045.064 3356.142  0.000 -0.000  0.000  0.000 
1038.674 3374.059  0.000 -0.000  0.000  0.000 
1032.311 3391.808  0.000 -0.000  0.000  0.000 
1025.978 3409.392  0.000 -0.000  0.000  0.000 
1019.680 3426.814  0.000 -0.000  0.000  0.000 
1013.422 3444.074  0.000 -0.000  0.000  0.000 
